node1,node2,weight
1.0,9.0,0.6
1.0,6.0,0.9
2.0,1.0,0.9
1.0,17.0,0.95
29.0,1.0,0.7
17.0,1.0,0.95
1.0,15.0,0.55
9.0,1.0,1.0
1.0,23.0,0.8
1.0,13.0,0.65
13.0,1.0,0.9
17.0,13.0,0.6
29.0,13.0,0.6
13.0,17.0,0.6
13.0,29.0,0.6
19.0,1.0,0.95
1.0,8.0,0.85
1.0,2.0,0.9
1.0,3.0,0.8
1.0,29.0,0.7
7.0,29.0,0.6
29.0,7.0,0.6
10.0,1.0,0.9
1.0,4.0,1.0
1.0,5.0,0.7
5.0,1.0,0.65
7.0,1.0,0.85
1.0,21.0,0.8
1.0,20.0,0.6
4.0,1.0,1.0
1.0,19.0,0.8
6.0,1.0,0.9
1.0,7.0,0.95
21.0,1.0,0.9
23.0,1.0,0.85
1.0,10.0,0.85
8.0,1.0,0.65
7.0,17.0,0.8
17.0,3.0,0.75
4.0,17.0,0.65
17.0,7.0,0.7
17.0,20.0,0.6
7.0,21.0,0.75
13.0,7.0,0.55
28.0,7.0,0.55
21.0,7.0,0.75
7.0,5.0,0.55
4.0,6.0,0.75
4.0,7.0,0.85
17.0,4.0,0.55
4.0,2.0,0.8
19.0,4.0,0.65
13.0,4.0,0.9
4.0,19.0,0.8
26.0,4.0,0.55
4.0,3.0,0.85
4.0,13.0,0.9
4.0,26.0,0.55
7.0,4.0,0.7
6.0,4.0,0.6
