node1,node2,weight
1.0,21.0,0.8
1.0,20.0,0.6
1.0,9.0,0.6
1.0,4.0,1.0
2.0,1.0,0.9
1.0,19.0,0.8
6.0,1.0,0.9
17.0,1.0,0.95
1.0,7.0,0.95
4.0,1.0,1.0
7.0,1.0,0.85
1.0,13.0,0.65
1.0,29.0,0.7
1.0,3.0,0.8
19.0,1.0,0.95
9.0,1.0,1.0
1.0,10.0,0.85
1.0,5.0,0.7
21.0,1.0,0.9
1.0,17.0,0.95
1.0,8.0,0.85
10.0,1.0,0.9
8.0,1.0,0.65
29.0,1.0,0.7
1.0,2.0,0.9
1.0,15.0,0.55
1.0,6.0,0.9
23.0,1.0,0.85
13.0,1.0,0.9
1.0,23.0,0.8
7.0,6.0,0.65
6.0,7.0,0.75
6.0,2.0,0.7
4.0,6.0,0.75
6.0,5.0,0.6
5.0,1.0,0.65
7.0,29.0,0.6
29.0,7.0,0.6
29.0,13.0,0.6
13.0,29.0,0.6
17.0,13.0,0.6
13.0,7.0,0.55
13.0,16.0,0.9
7.0,13.0,0.55
13.0,10.0,0.9
17.0,28.0,0.55
4.0,17.0,0.65
17.0,23.0,0.55
17.0,7.0,0.7
7.0,17.0,0.8
13.0,2.0,0.6
13.0,6.0,0.45
2.0,13.0,0.55
13.0,25.0,1.0
4.0,13.0,0.9
23.0,17.0,0.55
13.0,17.0,0.6
17.0,4.0,0.55
17.0,20.0,0.6
17.0,3.0,0.75
23.0,19.0,0.55
23.0,20.0,0.55
23.0,7.0,0.75
2.0,23.0,0.75
7.0,23.0,0.7
13.0,4.0,0.9
2.0,7.0,0.75
2.0,6.0,0.75
7.0,2.0,0.75
2.0,20.0,0.75
10.0,2.0,0.85
10.0,8.0,0.55
10.0,21.0,0.9
21.0,10.0,0.9
10.0,3.0,0.85
10.0,6.0,0.85
4.0,19.0,0.8
19.0,4.0,0.65
7.0,19.0,0.75
19.0,7.0,0.95
