node1,node2,weight
7.0,1.0,0.85
1.0,7.0,0.95
1.0,21.0,0.8
21.0,1.0,0.9
1.0,9.0,0.6
17.0,1.0,0.95
4.0,1.0,1.0
1.0,10.0,0.85
1.0,17.0,0.95
1.0,2.0,0.9
7.0,6.0,0.65
2.0,7.0,0.75
6.0,7.0,0.75
7.0,17.0,0.8
7.0,21.0,0.75
7.0,5.0,0.55
4.0,7.0,0.85
17.0,7.0,0.7
29.0,7.0,0.6
7.0,28.0,0.6
7.0,20.0,0.7
7.0,2.0,0.75
28.0,7.0,0.55
5.0,7.0,0.55
7.0,4.0,0.7
7.0,19.0,0.75
7.0,3.0,0.8
7.0,29.0,0.6
19.0,7.0,0.95
7.0,13.0,0.55
1.0,15.0,0.55
13.0,1.0,0.9
1.0,5.0,0.7
1.0,6.0,0.9
1.0,8.0,0.85
4.0,26.0,0.55
6.0,4.0,0.6
26.0,4.0,0.55
4.0,6.0,0.75
2.0,4.0,0.75
21.0,7.0,0.75
13.0,7.0,0.55
23.0,7.0,0.75
7.0,23.0,0.7
29.0,1.0,0.7
1.0,4.0,1.0
1.0,23.0,0.8
6.0,1.0,0.9
23.0,1.0,0.85
1.0,13.0,0.65
10.0,1.0,0.9
1.0,19.0,0.8
19.0,1.0,0.95
2.0,1.0,0.9
17.0,28.0,0.55
2.0,3.0,0.9
10.0,3.0,0.85
1.0,3.0,0.8
4.0,3.0,0.85
21.0,3.0,0.85
19.0,4.0,0.65
4.0,19.0,0.8
23.0,19.0,0.55
19.0,23.0,0.75
1.0,29.0,0.7
8.0,1.0,0.65
1.0,20.0,0.6
9.0,1.0,1.0
5.0,1.0,0.65
29.0,13.0,0.6
13.0,29.0,0.6
6.0,2.0,0.7
2.0,20.0,0.75
2.0,21.0,0.75
4.0,2.0,0.8
13.0,2.0,0.6
13.0,4.0,0.9
4.0,17.0,0.65
4.0,13.0,0.9
17.0,4.0,0.55
23.0,17.0,0.55
17.0,23.0,0.55
17.0,20.0,0.6
17.0,13.0,0.6
13.0,17.0,0.6
17.0,3.0,0.75
21.0,2.0,0.75
21.0,10.0,0.9
10.0,21.0,0.9
21.0,8.0,0.95
6.0,5.0,0.6
10.0,6.0,0.85
5.0,6.0,0.65
6.0,10.0,0.65
13.0,6.0,0.45
10.0,2.0,0.85
2.0,13.0,0.55
2.0,23.0,0.75
2.0,6.0,0.75
13.0,16.0,0.9
