node1,node2,weight
8.0,1.0,0.65
1.0,4.0,1.0
1.0,5.0,0.7
19.0,1.0,0.95
1.0,9.0,0.6
1.0,23.0,0.8
6.0,1.0,0.9
1.0,19.0,0.8
1.0,21.0,0.8
13.0,1.0,0.9
7.0,23.0,0.7
2.0,23.0,0.75
23.0,19.0,0.55
19.0,23.0,0.75
23.0,17.0,0.55
23.0,7.0,0.75
23.0,1.0,0.85
23.0,20.0,0.55
17.0,23.0,0.55
1.0,17.0,0.95
7.0,17.0,0.8
17.0,7.0,0.7
17.0,20.0,0.6
17.0,1.0,0.95
4.0,1.0,1.0
9.0,1.0,1.0
1.0,7.0,0.95
1.0,2.0,0.9
1.0,13.0,0.65
21.0,8.0,0.95
10.0,8.0,0.55
1.0,8.0,0.85
4.0,13.0,0.9
26.0,4.0,0.55
2.0,4.0,0.75
7.0,4.0,0.7
4.0,26.0,0.55
2.0,13.0,0.55
13.0,16.0,0.9
13.0,6.0,0.45
13.0,17.0,0.6
13.0,4.0,0.9
1.0,3.0,0.8
29.0,1.0,0.7
7.0,1.0,0.85
5.0,1.0,0.65
2.0,1.0,0.9
6.0,2.0,0.7
6.0,5.0,0.6
2.0,6.0,0.75
