node1,node2,weight
7.0,1.0,0.85
1.0,29.0,0.7
1.0,20.0,0.6
1.0,3.0,0.8
1.0,2.0,0.9
1.0,9.0,0.6
17.0,1.0,0.95
9.0,1.0,1.0
8.0,1.0,0.65
1.0,13.0,0.65
21.0,1.0,0.9
1.0,17.0,0.95
1.0,6.0,0.9
2.0,1.0,0.9
1.0,23.0,0.8
1.0,5.0,0.7
1.0,4.0,1.0
6.0,1.0,0.9
1.0,15.0,0.55
13.0,1.0,0.9
2.0,23.0,0.75
23.0,20.0,0.55
23.0,1.0,0.85
23.0,19.0,0.55
17.0,23.0,0.55
2.0,3.0,0.9
17.0,3.0,0.75
21.0,3.0,0.85
7.0,3.0,0.8
4.0,3.0,0.85
4.0,1.0,1.0
1.0,21.0,0.8
1.0,8.0,0.85
1.0,10.0,0.85
19.0,1.0,0.95
10.0,3.0,0.85
1.0,19.0,0.8
1.0,7.0,0.95
10.0,1.0,0.9
29.0,1.0,0.7
